Afghanistan;7
Alaska;10
Alberta;8
Argentina;7
Brazil;6
Central_America;2
China;8
Congo;7
East_Africa;6
Eastern_Australia;7
Eastern_United_States;4
Egypt;3
Great_Britain;6
Greenland;2
Iceland;7
India;8
Indonesia;2
Irkutsk;9
Japan;2
Kamchatka;10
Madagascar;2
Middle_East;3
Mongolia;7
New_Guinea;8
North_Africa;7
Northern_Europe;9
Northwest_Territory;5
Ontario;10
Peru;5
Quebec;8
Russia;9
Scandinavia;10
Siberia;9
South_Africa;7
Southeast_Asia;4
Southern_Europe;8
Ural;1
Venezuela;8
Western_Australia;5
Western_Europe;10
Western_United_States;8
Yakutsk;5
