Alaska;Kamchatka;10
Alaska;Northwest_Territory;1
Alaska;Alberta;1
Northwest_Territory;Alberta;6
Northwest_Territory;Ontario;1
Northwest_Territory;Greenland;10
Alberta;Ontario;10
Alberta;Western_United_States;6
Ontario;Quebec;5
Ontario;Western_United_States;9
Ontario;Eastern_United_States;7
Quebec;Eastern_United_States;4
Greenland;Quebec;3
Greenland;Iceland;4
Western_United_States;Eastern_United_States;1
Western_United_States;Central_America;3
Eastern_United_States;Central_America;7
Central_America;Venezuela;3
Venezuela;Brazil;1
Venezuela;Peru;5
Peru;Brazil;2
Peru;Argentina;7
Brazil;Argentina;6
Brazil;North_Africa;6
Iceland;Great_Britain;4
Iceland;Scandinavia;4
Great_Britain;Scandinavia;4
Great_Britain;Western_Europe;4
Great_Britain;Northern_Europe;7
Scandinavia;Northern_Europe;3
Scandinavia;Russia;5
Northern_Europe;Russia;1
Northern_Europe;Western_Europe;3
Northern_Europe;Southern_Europe;6
Western_Europe;Southern_Europe;6
Western_Europe;North_Africa;3
Southern_Europe;North_Africa;1
Southern_Europe;Egypt;9
Southern_Europe;Middle_East;1
Southern_Europe;Russia;3
Russia;Ural;3
Russia;Afghanistan;7
Russia;Middle_East;10
North_Africa;Egypt;7
North_Africa;East_Africa;2
North_Africa;Congo;8
Egypt;East_Africa;8
East_Africa;Congo;7
East_Africa;South_Africa;9
East_Africa;Middle_East;3
Congo;South_Africa;4
South_Africa;Madagascar;1
Ural;Siberia;3
Ural;China;6
Ural;Afghanistan;7
Siberia;Yakutsk;8
Siberia;Irkutsk;8
Siberia;Mongolia;5
Siberia;China;2
Yakutsk;Kamchatka;7
Yakutsk;Irkutsk;3
Kamchatka;Irkutsk;2
Kamchatka;Mongolia;3
Kamchatka;Japan;1
Mongolia;Irkutsk;10
Mongolia;China;6
Mongolia;Japan;2
Japan;Kamchatka;2
China;Afghanistan;6
China;India;10
China;Southeast_Asia;2
Afghanistan;Middle_East;2
Afghanistan;India;6
India;Southeast_Asia;4
Southeast_Asia;Indonesia;6
Indonesia;New_Guinea;3
Indonesia;Western_Australia;10
New_Guinea;Western_Australia;2
New_Guinea;Eastern_Australia;7
Western_Australia;Eastern_Australia;6
